T,motor,stretch
204327,sition: 0 ,2.25
204379,sition: 0 ,2.25
204429,sition: 0 ,2.25
204479,sition: 0 ,2.25
204529,sition: 0 ,2.25
204579,sition: 0 ,2.25
204629,sition: 0 ,2.26
204679,sition: 0 ,2.25
204729,sition: 0 ,2.25
204779,sition: 0 ,0.83
204829,sition: 0 ,-1.45
204879,sition: 0 ,-2.01
204929,sition: 0 ,-1.73
204979,sition: 0 ,-0.87
205029,sition: 0 ,1.12
205079,sition: 0 ,1.68
205129,sition: 0 ,1.97
205180,sition: 0 ,2.25
205230,sition: 0 ,1.97
205280,sition: 0 ,2.25
205330,sition: 0 ,2.25
205380,sition: 0 ,2.25
205430,sition: 0 ,2.25
205480,sition: 0 ,2.25
205530,sition: 0 ,2.25
205581,sition: 0 ,2.25
205681,sition: 0 ,2.25
205781,sition: 0 ,2.25
205831,sition: 0 ,2.25
205881,sition: 0 ,2.25
205931,sition: 0 ,2.25
205981,sition: 0 ,2.25
206031,sition: 0 ,2.25
206081,sition: 0 ,2.25
206131,sition: 0 ,2.25
206181,sition: 0 ,2.25
206231,sition: 0 ,2.25
206281,sition: 0 ,2.25
206331,sition: 0 ,2.25
206381,sition: 0 ,2.25
206431,sition: 0 ,2.25
206481,sition: 0 ,2.25
206531,sition: 0 ,2.25
206581,sition: 0 ,2.25
206631,sition: 0 ,2.25
206681,sition: 0 ,2.25
206731,sition: 0 ,2.25
206781,sition: 0 ,2.25
206831,sition: 0 ,2.25
206881,sition: 0 ,2.25
206931,sition: 0 ,2.25
206981,sition: 0 ,0.26
207031,sition: 0 ,-1.73
207081,sition: 1 ,-2.01
207131,sition: 2 ,-2.01
207181,sition: 2 ,0.26
207231,sition: 3 ,0.83
207281,sition: 3 ,1.68
207331,sition: 4 ,2.25
207381,sition: 5 ,2.25
207431,sition: 5 ,2.25
207481,sition: 6 ,2.25
207532,sition: 7 ,3.37
207582,sition: 7 ,3.37
207632,sition: 8 ,3.38
207682,sition: 8 ,3.65
207732,sition: 9 ,3.65
207782,sition: 10 ,3.65
207832,sition: 10 ,3.65
207882,sition: 11 ,3.66
207932,sition: 12 ,4.50
207982,sition: 12 ,4.50
208032,sition: 13 ,4.50
208082,sition: 13 ,4.50
208132,sition: 14 ,4.50
208182,sition: 15 ,4.22
208232,sition: 15 ,5.07
208282,sition: 16 ,5.34
208332,sition: 17 ,5.34
208382,sition: 17 ,5.34
208432,sition: 18 ,5.34
208482,sition: 18 ,5.34
208532,sition: 19 ,5.34
208582,sition: 20 ,5.34
208632,sition: 20 ,5.34
208682,sition: 21 ,5.63
208732,sition: 22 ,6.47
208782,sition: 22 ,6.47
208832,sition: 23 ,6.47
208882,sition: 23 ,6.75
208932,sition: 24 ,6.75
208982,sition: 25 ,6.75
209032,sition: 25 ,6.75
209082,sition: 26 ,6.75
209132,sition: 27 ,7.03
209182,sition: 27 ,5.32
209232,sition: 28 ,3.90
209282,sition: 28 ,3.90
