T,motor,stretch
1728685,sition: 104 ,14.19
1728735,sition: 108 ,13.94
1728796,sition: 108 ,14.19
1728846,sition: 108 ,14.68
1728896,sition: 108 ,14.68
1728958,sition: 108 ,15.93
1729008,sition: 112 ,16.68
1729058,sition: 112 ,16.68
1729120,sition: 112 ,17.18
1729170,sition: 112 ,17.18
1729220,sition: 112 ,17.43
1729281,sition: 116 ,17.43
1729331,sition: 116 ,17.68
1729381,sition: 116 ,17.68
1729442,sition: 116 ,17.92
1729492,sition: 116 ,16.43
1729542,sition: 120 ,15.43
1729601,sition: 120 ,14.93
1729651,sition: 120 ,14.93
1729701,sition: 120 ,15.18
1729762,sition: 120 ,15.93
1729812,sition: 124 ,16.68
1729862,sition: 124 ,16.93
1729922,sition: 124 ,17.68
1729972,sition: 124 ,17.68
1730022,sition: 124 ,17.92
1730083,sition: 128 ,17.68
1730133,sition: 128 ,17.93
1730183,sition: 128 ,18.17
1730243,sition: 128 ,18.17
1730293,sition: 128 ,17.92
1730343,sition: 132 ,17.93
1730404,sition: 132 ,18.17
1730454,sition: 132 ,17.68
1730504,sition: 132 ,16.93
1730565,sition: 132 ,15.18
1730615,sition: 136 ,15.18
1730665,sition: 136 ,15.43
1730725,sition: 136 ,15.93
1730775,sition: 136 ,16.43
1730825,sition: 136 ,16.68
1730884,sition: 140 ,17.68
1730934,sition: 140 ,17.68
1730984,sition: 140 ,18.17
1731045,sition: 140 ,17.93
1731095,sition: 140 ,18.17
1731145,sition: 144 ,18.17
1731206,sition: 144 ,17.93
1731256,sition: 144 ,18.17
1731306,sition: 144 ,18.42
1731367,sition: 144 ,18.42
1731417,sition: 148 ,18.17
1731467,sition: 148 ,17.43
1731527,sition: 148 ,15.43
1731577,sition: 148 ,15.43
1731627,sition: 148 ,15.43
1731687,sition: 152 ,15.93
1731737,sition: 152 ,16.43
1731787,sition: 152 ,16.93
1731848,sition: 152 ,17.93
1731898,sition: 152 ,18.17
1731948,sition: 156 ,18.17
