T,motor,stretch
422347,sition: 60 ,0.00
422397,sition: 60 ,0.00
422447,sition: 61 ,0.00
422497,sition: 61 ,0.00
422548,sition: 62 ,0.00
422598,sition: 62 ,0.00
422648,sition: 62 ,0.00
422698,sition: 63 ,0.00
422748,sition: 63 ,0.00
422798,sition: 63 ,0.00
422848,sition: 64 ,0.00
422898,sition: 64 ,0.00
422948,sition: 65 ,0.00
422998,sition: 65 ,0.00
423048,sition: 65 ,0.00
423098,sition: 66 ,0.00
423148,sition: 66 ,0.00
423198,sition: 66 ,0.00
423248,sition: 67 ,0.00
423298,sition: 67 ,0.00
423348,sition: 68 ,0.00
423398,sition: 68 ,0.00
423448,sition: 68 ,0.00
423498,sition: 69 ,0.00
423548,sition: 69 ,0.00
423598,sition: 69 ,0.00
423648,sition: 70 ,0.00
423698,sition: 70 ,0.00
423748,sition: 71 ,0.00
423798,sition: 71 ,0.00
423848,sition: 71 ,0.00
423898,sition: 72 ,0.00
423948,sition: 72 ,0.00
423998,sition: 72 ,0.00
424048,sition: 73 ,0.00
424098,sition: 73 ,0.00
424148,sition: 74 ,0.00
424198,sition: 74 ,0.00
424248,sition: 74 ,0.00
424298,sition: 75 ,0.00
424348,sition: 75 ,0.00
424398,sition: 75 ,0.00
424449,sition: 76 ,0.00
424499,sition: 76 ,0.00
424549,sition: 77 ,0.00
424599,sition: 77 ,0.00
424649,sition: 77 ,0.00
424699,sition: 78 ,0.00
424749,sition: 78 ,0.00
424799,sition: 78 ,0.00
424849,sition: 79 ,0.00
424899,sition: 79 ,0.00
424949,sition: 80 ,0.00
424999,sition: 80 ,0.00
425049,sition: 80 ,0.00
425099,sition: 81 ,0.00
425149,sition: 81 ,0.00
425199,sition: 81 ,0.00
425249,sition: 82 ,0.00
425299,sition: 82 ,0.00
425349,sition: 83 ,0.00
425399,sition: 83 ,0.00
425449,sition: 83 ,0.00
425499,sition: 84 ,0.00
425549,sition: 84 ,0.00
425599,sition: 84 ,0.00
425649,sition: 85 ,0.00
425699,sition: 85 ,0.00
425749,sition: 86 ,0.00
425799,sition: 86 ,0.00
425849,sition: 86 ,0.00
425899,sition: 87 ,0.00
425949,sition: 87 ,0.00
425999,sition: 87 ,0.00
426049,sition: 88 ,0.00
426099,sition: 88 ,0.00
426149,sition: 89 ,0.00
426199,sition: 89 ,0.00
426249,sition: 89 ,0.00
426300,sition: 90 ,0.00
426350,sition: 90 ,0.00
426400,sition: 90 ,0.00
426450,sition: 91 ,0.00
426500,sition: 91 ,0.00
426550,sition: 92 ,0.00
426600,sition: 92 ,0.00
426650,sition: 92 ,0.00
426700,sition: 93 ,0.00
426750,sition: 93 ,0.00
426800,sition: 93 ,0.00
426850,sition: 94 ,0.00
