T,motor,stretch
2893827,sition: 50 ,5.44
2893877,sition: 50 ,5.44
2893942,sition: 51 ,5.44
2893992,sition: 51 ,5.44
2894060,sition: 51 ,4.20
2894110,sition: 51 ,3.96
2894177,sition: 52 ,5.19
2894227,sition: 52 ,6.43
2894294,sition: 52 ,6.43
2894344,sition: 53 ,6.43
2894407,sition: 53 ,6.43
2894457,sition: 53 ,6.43
2894507,sition: 53 ,6.43
2894562,sition: 54 ,6.43
2894612,sition: 54 ,6.43
2894679,sition: 54 ,6.43
2894729,sition: 54 ,6.43
2894795,sition: 55 ,4.95
2894845,sition: 55 ,5.44
2894895,sition: 55 ,5.94
2894952,sition: 56 ,6.43
2895002,sition: 56 ,6.43
2895070,sition: 56 ,6.43
2895120,sition: 56 ,6.43
2895189,sition: 57 ,6.43
2895239,sition: 57 ,6.43
2895306,sition: 57 ,6.43
2895356,sition: 58 ,6.43
2895406,sition: 58 ,6.43
2895463,sition: 58 ,6.93
2895513,sition: 58 ,5.94
2895563,sition: 59 ,5.94
2895621,sition: 59 ,6.93
2895671,sition: 59 ,6.93
2895721,sition: 59 ,6.93
2895778,sition: 60 ,6.93
2895828,sition: 60 ,6.93
2895896,sition: 60 ,6.93
2895946,sition: 60 ,6.93
2896013,sition: 61 ,6.93
2896063,sition: 61 ,6.93
2896113,sition: 61 ,6.93
2896169,sition: 62 ,6.93
2896219,sition: 62 ,6.93
2896269,sition: 62 ,6.93
2896328,sition: 62 ,7.42
2896378,sition: 63 ,8.16
2896444,sition: 63 ,8.16
2896494,sition: 63 ,8.16
2896544,sition: 63 ,8.16
2896600,sition: 64 ,8.16
2896650,sition: 64 ,8.16
2896719,sition: 64 ,7.92
2896769,sition: 64 ,8.16
2896836,sition: 65 ,8.16
2896886,sition: 65 ,8.16
2896936,sition: 65 ,8.16
2896994,sition: 66 ,7.67
2897044,sition: 66 ,7.92
2897094,sition: 66 ,8.66
2897151,sition: 66 ,8.66
2897201,sition: 67 ,8.66
2897251,sition: 67 ,8.66
2897307,sition: 67 ,8.66
2897357,sition: 67 ,8.66
2897407,sition: 68 ,8.66
2897465,sition: 68 ,8.66
2897515,sition: 68 ,8.66
2897583,sition: 68 ,8.66
2897633,sition: 69 ,8.66
2897700,sition: 69 ,8.41
2897750,sition: 69 ,8.91
2897800,sition: 70 ,8.91
2897857,sition: 70 ,8.91
2897907,sition: 70 ,8.91
2897973,sition: 70 ,8.91
2898023,sition: 71 ,8.91
2898073,sition: 71 ,8.91
2898129,sition: 71 ,8.91
2898179,sition: 71 ,8.91
2898229,sition: 72 ,8.91
2898285,sition: 72 ,8.91
2898335,sition: 72 ,8.91
2898385,sition: 72 ,9.65
2898443,sition: 73 ,9.40
2898493,sition: 73 ,9.90
2898543,sition: 73 ,9.90
2898601,sition: 73 ,9.90
2898651,sition: 74 ,9.90
2898719,sition: 74 ,9.90
2898769,sition: 74 ,9.90
2898834,sition: 75 ,9.90
2898884,sition: 75 ,9.90
2898950,sition: 75 ,9.90
2899000,sition: 75 ,9.90
2899065,sition: 76 ,9.90
2899116,sition: 76 ,10.14
2899166,sition: 76 ,9.90
2899228,sition: 77 ,10.64
2899278,sition: 77 ,10.64
2899328,sition: 77 ,10.64
2899389,sition: 77 ,10.64
2899439,sition: 78 ,10.64
2899489,sition: 78 ,10.64
2899550,sition: 78 ,10.64
2899600,sition: 78 ,10.64
2899650,sition: 79 ,10.64
2899710,sition: 79 ,10.64
2899761,sition: 79 ,10.64
2899811,sition: 80 ,10.39
2899874,sition: 80 ,10.39
2899924,sition: 80 ,10.39
2899974,sition: 80 ,10.39
2900035,sition: 81 ,10.39
2900085,sition: 81 ,10.39
2900135,sition: 81 ,10.39
2900196,sition: 81 ,10.15
2900246,sition: 82 ,10.39
2900296,sition: 82 ,10.39
2900357,sition: 82 ,10.39
2900407,sition: 83 ,10.39
2900457,sition: 83 ,10.39
2900519,sition: 83 ,11.14
2900569,sition: 83 ,11.38
2900638,sition: 84 ,11.63
2900688,sition: 84 ,11.63
2900738,sition: 84 ,11.63
2900799,sition: 84 ,11.63
2900849,sition: 85 ,11.63
2900899,sition: 85 ,11.63
2900960,sition: 85 ,11.63
2901010,sition: 86 ,11.63
2901060,sition: 86 ,11.63
2901122,sition: 86 ,12.37
2901172,sition: 86 ,12.37
2901222,sition: 87 ,12.37
2901283,sition: 87 ,12.37
2901333,sition: 87 ,12.37
2901383,sition: 87 ,12.37
2901442,sition: 88 ,12.37
2901492,sition: 88 ,12.37
2901542,sition: 88 ,12.87
2901601,sition: 88 ,11.88
2901651,sition: 89 ,12.37
2901701,sition: 89 ,12.37
2901762,sition: 89 ,12.37
2901812,sition: 90 ,12.37
2901862,sition: 90 ,12.37
2901923,sition: 90 ,12.37
2901973,sition: 90 ,12.37
2902023,sition: 91 ,12.37
2902084,sition: 91 ,12.37
2902134,sition: 91 ,12.62
2902184,sition: 91 ,12.38
2902248,sition: 92 ,12.87
2902298,sition: 92 ,12.87
2902348,sition: 92 ,12.87
2902409,sition: 92 ,12.87
2902459,sition: 93 ,12.87
2902509,sition: 93 ,12.87
2902570,sition: 93 ,12.87
2902620,sition: 94 ,12.87
2902670,sition: 94 ,12.87
2902731,sition: 94 ,12.87
2902781,sition: 94 ,12.87
2902831,sition: 95 ,13.12
2902892,sition: 95 ,12.87
2902942,sition: 95 ,13.12
2902992,sition: 95 ,13.86
2903051,sition: 96 ,13.86
2903101,sition: 96 ,13.86
2903151,sition: 96 ,13.86
2903207,sition: 96 ,13.86
2903257,sition: 97 ,13.86
2903324,sition: 97 ,13.86
2903374,sition: 97 ,13.86
